kartaltepe_id	_f_Sph_	_f_Dk_	_f_Ir_	_f_UnCl_	_f_M_	_f_Comp_	zooniverse_id	f_features_wtd	f_star	f_smooth	f_features_best
ers2_11636	0.7500000000000001	0.25000000000000006	0.0	0.0	0.0	0.0	AGZ00082ne	0.175	0.275	0.16753105017237258	0.557468943867163
ers2_11821	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	AGZ00082tx	0.225	0.4	0.0	0.5999999940395355
ers2_12545	0.0	0.33333300000000005	0.0	0.6666670000000001	0.0	0.33333300000000005	AGZ00084p3	0.2	0.2	0.28581245906332997	0.5141875379564378
ers2_13831	1.0000000000000002	1.0000000000000002	0.0	0.0	0.0	0.33333300000000005	AGZ00085d2	0.175	0.2	0.18748706575140361	0.6125129312683641
ers2_14977	0.0	0.33333300000000005	1.0000000000000002	0.0	0.0	0.0	AGZ00082pu	0.225	0.375	0.0	0.625
ers2_15045	0.0	0.6666670000000001	0.6666670000000001	0.0	0.33333300000000005	0.0	AGZ0008359	0.2	0.375	0.0	0.625
ers2_17385	1.0000000000000002	1.0000000000000002	0.0	0.0	0.0	0.0	AGZ000845o	0.2	0.25	0.20981577618226277	0.5401842238177372
wide2_6396	1.0000000000000002	1.0000000000000002	0.0	0.0	0.0	0.0	AGZ000862y	0.2195122	0.34146342	0.0048037631063833075	0.6537328200788126
wide2_1263	0.25000000000000006	0.7500000000000001	0.25000000000000006	0.0	0.0	0.0	AGZ00085q4	0.225	0.35	0.1358124680040267	0.5141875379564378
